id,title,options,correct_option,type,response,phase,deadline_min
73,Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Πως θα περιέγραφες την κατάσταση σου αυτή τη στιγμή; | Χαρούμενος/η και με καλή διάθεση,"{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
74,Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Πως θα περιέγραφες την κατάσταση σου αυτή τη στιγμή; | Ήρεμος/η και γαλήνιος/α,"{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
75,Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Πως θα περιέγραφες την κατάσταση σου αυτή τη στιγμή; | Ενεργητικός/η και δραστήριος/α,"{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
76,Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Πως θα περιέγραφες την κατάσταση σου αυτή τη στιγμή; | Φρέσκος/α και ξεκούραστος/η,"{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
77,Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Πως θα περιέγραφες την κατάσταση σου αυτή τη στιγμή; | Κάνω πράγματα που με ενδιαφέρουν,"{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
78,"Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Aπό το τελευταίο μπιπ, υπήρχε αλληλεπίδραση με το παιδί σου που συμμετέχει στην έρευνα, είτε με φυσική παρουσία είτε μέσω τηλεφώνου ή διαδικτυακά;","{Ναί,Όχι}",,parent,single,,30
79,Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Αν ναί... Φέρε στο μυαλό σου την πιο πρόσφατη αλληλεπίδραση με αυτό το παιδί σου,"{Σπίτι,Σχολείο,Αυτοκίνητο,Αλλού με Φυσική Παρουσία,Διαδικτυακά, τηλεφωνικώς, ή με μηνύματα}",,parent,multiple,,30
80,Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Ποιοι άλλοι ήταν μαζί σας;,"{Άλλος γονέας,Αδέλφια του παιδιού,Άλλοι συγγενείς,Φίλοι του παιδιού,Καθηγητές,Κανένας}",,parent,multiple,,30
81,Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Tι αφορούσε η αλληλεπίδραση;,"{Σχέσεις του παιδιού στην οικογένεια,Σχέσεις του παιδιού με φίλους,Σχέσεις του παιδιού για το άτομο που το ενδιαφέρει,Σχολείο και Διάβασμα,Ιατρικά θέματα στην οικογένεια,Συναισθηματικές δυσκολίες στην οικογένεια,Άλλο}",,parent,multiple,,30
82,"Παράγοντες Πλαίσιου και Συναισθηματική Κατάσταση | Πως αισθάνθηκες, στο πλαίσιο της αλληλεπίδρασης;","{Θυμωμένος,Χαρούμενος,Συγκεντρωμένος,Αγχωμένος,Ήρεμος,Απογοητευμένος}",,parent,single,,30
83,"Διαχείριση συναισθημάτων και συμπεριφοράς | Κατά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω, στην προσπάθεια σου να διαχειριστείς τα συναισθήματα, σκέψεις, και συμπεριφορά σου: | Προσπάθησα να καταλάβω τι πραγματικά νιώθω.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
84,"Διαχείριση συναισθημάτων και συμπεριφοράς | Κατά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω, στην προσπάθεια σου να διαχειριστείς τα συναισθήματα, σκέψεις, και συμπεριφορά σου: | Διατήρησα τον έλεγχο της συμπεριφοράς μου.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
85,"Διαχείριση συναισθημάτων και συμπεριφοράς | Κατά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω, στην προσπάθεια σου να διαχειριστείς τα συναισθήματα, σκέψεις, και συμπεριφορά σου: | Μπορούσα να εστιάσω στην παρούσα στιγμή.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
86,"Διαχείριση συναισθημάτων και συμπεριφοράς | Κατά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω, στην προσπάθεια σου να διαχειριστείς τα συναισθήματα, σκέψεις, και συμπεριφορά σου: | Αποδέχτηκα την κατάσταση έτσι όπως ήταν.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
87,"Διαχείριση συναισθημάτων και συμπεριφοράς | Κατά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω, στην προσπάθεια σου να διαχειριστείς τα συναισθήματα, σκέψεις, και συμπεριφορά σου: | Πίστευα ότι μπορούσα να αντιμετωπίσω αποτελεσματικά αυτό που συνέβαινε.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
88,"Διαχείριση συναισθημάτων και συμπεριφοράς | Κατά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω, στην προσπάθεια σου να διαχειριστείς τα συναισθήματα, σκέψεις, και συμπεριφορά σου: | Επικεντρώθηκα στο να κάνω κάτι για να αλλάξω την κατάσταση.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
89,"Διαχείριση συναισθημάτων και συμπεριφοράς | Κατά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω, στην προσπάθεια σου να διαχειριστείς τα συναισθήματα, σκέψεις, και συμπεριφορά σου: | Αποδέχτηκα τα συναισθήματα που ένιωθα.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
90,"Διαχείριση συναισθημάτων και συμπεριφοράς | Κατά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω, στην προσπάθεια σου να διαχειριστείς τα συναισθήματα, σκέψεις, και συμπεριφορά σου: | Είπα πράγματα για να εκτονώσω τα συναισθήματα μου.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
91,"Διαχείριση συναισθημάτων και συμπεριφοράς | Κατά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω, στην προσπάθεια σου να διαχειριστείς τα συναισθήματα, σκέψεις, και συμπεριφορά σου: | Σκέφτηκα εκείνη την στιγμή ότι δεν ήμουν καλός/ή σε τίποτα.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
92,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Ρώτησα το παιδί μου τι νιώθει.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
